email,timestamp,emotion,confidence,model_type,session_id
goku,2025-04-26 13:40:50,angry,0.8231193423271179,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:50,angry,0.5715224742889404,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:50,angry,0.7364686131477356,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:50,angry,0.7364686131477356,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:50,angry,0.6271501183509827,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:50,neutral,0.6478001475334167,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:51,neutral,0.6863322854042053,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:51,angry,0.6872484683990479,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:51,angry,0.9249631762504578,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:51,angry,0.6144750118255615,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:51,angry,0.5471022725105286,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:51,angry,0.5471022725105286,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:51,angry,0.6046181917190552,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:51,neutral,0.61980140209198,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:51,neutral,0.6037485003471375,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:51,neutral,0.6002306938171387,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:51,neutral,0.6002306938171387,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:51,neutral,0.5467823147773743,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:51,angry,0.7151784300804138,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:52,angry,0.5601556897163391,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:52,angry,0.7284387350082397,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:52,angry,0.8831656575202942,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:52,neutral,0.5443494319915771,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:52,angry,0.6986292004585266,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:52,angry,0.7640166878700256,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:52,angry,0.7894768714904785,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:52,angry,0.9631560444831848,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:52,angry,0.9058782458305359,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:52,angry,0.8145617246627808,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:52,angry,0.8509714007377625,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:52,neutral,0.5901950597763062,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:52,neutral,0.5839201807975769,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
